first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_fppg_avg,L10_fppg_avg,szn_fppg_avg,proj_points,value,ppg_actual,value_actual,player
Xavier,Weaver,WR,,14,12/7/25,Thu-Mon,ARI,LAR,8.5,47.5,19.5,3000,18,1.1,0.9,1.4,1.4,0.47,,,Xavier Weaver
Adam,Thielen,WR,,14,12/7/25,Thu-Mon,PIT,BAL,5.5,42.5,18.5,3000,24,1.4,2.6,1.9,1.4,0.48,,,Adam Thielen
LeQuint,Allen Jr.,RB,,14,12/7/25,Thu-Mon,JAX,IND,1.5,46.5,22.5,4000,12,1.8,1.8,1.8,1.4,0.35,,,LeQuint Allen Jr.
Kaleb,Johnson,RB,,14,12/7/25,Thu-Mon,PIT,BAL,5.5,42.5,18.5,4000,18,1.2,1,1,1.3,0.32,,,Kaleb Johnson
Hunter,Luepke,RB,,14,12/4/25,Thu-Mon,DAL,DET,3.5,54.5,25.5,4000,1,3.8,2.4,3.1,1.3,0.33,,,Hunter Luepke
Mo,Alie-Cox,TE,,14,12/7/25,Thu-Mon,IND,JAX,-1.5,46.5,24,2500,31,1.2,1.3,1.6,1.3,0.53,,,Mo Alie-Cox
Emari,Demercado,RB,Q,14,12/7/25,Thu-Mon,ARI,LAR,8.5,47.5,19.5,4400,5,6.7,5.3,6.2,1.2,0.26,,,Emari Demercado
Cody,White,WR,,14,12/7/25,Thu-Mon,SEA,ATL,-6.5,44.5,25.5,3000,19,3.2,3.6,8.1,1.2,0.39,,,Cody White
Charlie,Kolar,TE,,14,12/7/25,Thu-Mon,BAL,PIT,-5.5,42.5,24,2500,27,4.9,3.1,3.8,1.2,0.48,,,Charlie Kolar
Tanner,Hudson,TE,,14,12/7/25,Thu-Mon,CIN,BUF,5.5,53.5,24,2500,1,4.7,4.8,5.8,1.2,0.49,,,Tanner Hudson
Malachi,Corley,WR,,14,12/7/25,Thu-Mon,CLE,TEN,-4.5,33.5,19,3000,23,2.3,1.9,2.3,1.2,0.41,,,Malachi Corley
Cedrick,Wilson Jr.,WR,,14,12/7/25,Thu-Mon,MIA,NYJ,-2.5,41.5,22,3000,11,3.1,2.8,1.8,1.1,0.37,,,Cedrick Wilson Jr.
Tim,Patrick,WR,,14,12/7/25,Thu-Mon,JAX,IND,1.5,46.5,22.5,3100,26,5.2,3.3,3.3,1,0.31,,,Tim Patrick
Tyler,Goodson,RB,,14,12/7/25,Thu-Mon,IND,JAX,-1.5,46.5,24,4000,4,0.8,0.8,0.8,1,0.25,,,Tyler Goodson
Charlie,Woerner,TE,,14,12/7/25,Thu-Mon,ATL,SEA,6.5,44.5,19,2500,30,1.7,1.6,2.1,0.9,0.35,,,Charlie Woerner
Dylan,Drummond,WR,,14,12/7/25,Thu-Mon,ATL,SEA,6.5,44.5,19,3000,9,2,2,3.1,0.9,0.29,,,Dylan Drummond
Brevyn,Spann-Ford,TE,,14,12/4/25,Thu-Mon,DAL,DET,3.5,54.5,25.5,2500,9,2.6,1.4,2.2,0.9,0.38,,,Brevyn Spann-Ford
Mitch,Tinsley,WR,,14,12/7/25,Thu-Mon,CIN,BUF,5.5,53.5,24,3600,12,4.1,3.6,4.8,0.8,0.22,,,Mitch Tinsley
Jalen,Tolbert,WR,,14,12/4/25,Thu-Mon,DAL,DET,3.5,54.5,25.5,3000,27,3.4,5.3,4.4,0.7,0.25,,,Jalen Tolbert
Dominic,Lovett,WR,,14,12/4/25,Thu-Mon,DET,DAL,-3.5,54.5,29,3000,32,,,,0.7,0.25,,,Dominic Lovett
Quintin,Morris,TE,,14,12/7/25,Thu-Mon,JAX,IND,1.5,46.5,22.5,2500,28,0.9,1.2,2.3,0.7,0.28,,,Quintin Morris
Chris,Moore,WR,,14,12/7/25,Thu-Mon,WAS,MIN,1.5,42.5,20.5,3000,2,5.4,3.6,5.2,0.7,0.22,,,Chris Moore
Payne,Durham,TE,,14,12/7/25,Thu-Mon,TB,NO,-8.5,41.5,25,2500,16,2.3,3.1,0.7,0.7,0.26,,,Payne Durham
Pharaoh,Brown,TE,,14,12/7/25,Thu-Mon,ARI,LAR,8.5,47.5,19.5,2500,17,0.9,0.9,,0.6,0.24,,,Pharaoh Brown
Robbie,Ouzts,RB,,14,12/7/25,Thu-Mon,SEA,ATL,-6.5,44.5,25.5,4000,23,,,,0.6,0.14,,,Robbie Ouzts
Durham,Smythe,TE,,14,12/7/25,Thu-Mon,CHI,GB,6.5,44.5,19,2500,12,0.9,1.1,1.6,0.6,0.22,,,Durham Smythe
Drew,Ogletree,TE,,14,12/7/25,Thu-Mon,IND,JAX,-1.5,46.5,24,2500,31,2.7,1.9,3.5,0.6,0.24,,,Drew Ogletree
Lil'Jordan,Humphrey,WR,,14,12/7/25,Thu-Mon,DEN,LV,-7.5,40.5,24,3000,28,2.8,3.2,4.8,0.6,0.21,,,Lil'Jordan Humphrey
Alec,Ingold,RB,Q,14,12/7/25,Thu-Mon,MIA,NYJ,-2.5,41.5,22,4000,27,1.7,1.4,1.6,0.6,0.15,,,Alec Ingold
Dante,Pettis,WR,,14,12/7/25,Thu-Mon,NO,TB,8.5,41.5,16.5,3000,22,5.4,3.8,2.4,0.6,0.19,,,Dante Pettis
