first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_fppg_avg,L10_fppg_avg,szn_fppg_avg,proj_points,value,ownership_projection,player
Derius,Davis,WR,Q,18,2026-01-04,Sat-Sun,LAC,DEN,12.5,37.5,12.5,3000,10,0.4,2.7,0.2,0.8,0.27,,Derius Davis
Kimani,Vidal,RB,Q,18,2026-01-04,Sat-Sun,LAC,DEN,12.5,37.5,12.5,5100,1,9.0,12.2,11.4,0.8,0.15,,Kimani Vidal
Alex,Bachman,WR,,18,2026-01-04,Sat-Sun,LV,KC,5.5,36.5,15.5,3000,13,0.6,0.9,1.1,0.8,0.26,,Alex Bachman
Gunner,Olszewski,WR,,18,2026-01-04,Sat-Sun,NYG,DAL,3.5,51.5,24.0,3000,32,1.7,0.8,2.8,0.8,0.28,,Gunner Olszewski
Reggie,Gilliam,RB,,18,2026-01-04,Sat-Sun,BUF,NYJ,-7.5,37.5,22.5,4000,27,0.3,0.2,1.2,0.7,0.18,,Reggie Gilliam
Mo,Alie-Cox,TE,,18,2026-01-04,Sat-Sun,IND,HOU,10.5,39.5,14.5,2500,12,1.1,1.5,1.6,0.7,0.29,,Mo Alie-Cox
C.J.,Ham,RB,,18,2026-01-04,Sat-Sun,MIN,GB,-7.5,35.5,21.5,4000,4,1.9,1.5,2.6,0.7,0.18,,C.J. Ham
Jake,Tonges,TE,,18,2026-01-03,Sat-Sun,SF,SEA,1.5,47.5,23.0,3000,28,10.5,7.4,9.3,0.7,0.22,,Jake Tonges
Dare,Ogunbowale,RB,,18,2026-01-04,Sat-Sun,HOU,IND,-10.5,39.5,25.0,4000,13,3.4,2.6,2.9,0.6,0.14,,Dare Ogunbowale
Quintin,Morris,TE,,18,2026-01-04,Sat-Sun,JAX,TEN,-12.5,47.5,30.0,2500,16,2.0,1.5,2.5,0.6,0.24,,Quintin Morris
Josiah,Deguara,TE,,18,2026-01-04,Sat-Sun,ARI,LAR,7.5,45.5,19.0,2500,19,0.3,0.3,0.5,0.6,0.26,,Josiah Deguara
Jonathan,Mingo,WR,,18,2026-01-04,Sat-Sun,DAL,NYG,-3.5,51.5,27.5,3000,26,2.0,1.3,1.2,0.6,0.2,,Jonathan Mingo
Devin,Duvernay,WR,,18,2026-01-04,Sat-Sun,CHI,DET,-2.5,50.5,26.5,3300,31,1.5,2.2,2.3,0.5,0.14,,Devin Duvernay
Sione,Vaki,RB,,18,2026-01-04,Sat-Sun,DET,CHI,2.5,50.5,24.0,4000,11,0.9,0.5,0.4,0.5,0.11,,Sione Vaki
Julius,Chestnut,RB,,18,2026-01-04,Sat-Sun,TEN,JAX,12.5,47.5,17.5,4000,2,0.2,0.7,0.6,0.5,0.12,,Julius Chestnut
Jarquez,Hunter,RB,,18,2026-01-04,Sat-Sun,LAR,ARI,-7.5,45.5,26.5,4000,30,,,,0.5,0.13,,Jarquez Hunter
Eric,Gray,RB,,18,2026-01-04,Sat-Sun,NYG,DAL,3.5,51.5,24.0,4000,26,0.6,0.7,,0.5,0.11,,Eric Gray
Dyami,Brown,WR,,18,2026-01-04,Sat-Sun,JAX,TEN,-12.5,47.5,30.0,3000,22,2.5,4.9,4.9,0.4,0.14,,Dyami Brown
Tahj,Washington,WR,,18,2026-01-04,Sat-Sun,MIA,NE,10.5,45.5,17.5,3000,16,1.1,1.1,1.1,0.4,0.12,,Tahj Washington
Velus,Jones Jr.,RB,,18,2026-01-03,Sat-Sun,SEA,SF,-1.5,47.5,24.5,4000,17,0.4,0.7,,0.4,0.1,,Velus Jones Jr.
Skyy,Moore,WR,,18,2026-01-03,Sat-Sun,SF,SEA,1.5,47.5,23.0,3000,11,2.3,1.4,1.7,0.4,0.12,,Skyy Moore
Durham,Smythe,TE,,18,2026-01-04,Sat-Sun,CHI,DET,-2.5,50.5,26.5,2500,17,0.9,1.1,1.5,0.3,0.12,,Durham Smythe
Harrison,Bryant,TE,,18,2026-01-04,Sat-Sun,HOU,IND,-10.5,39.5,25.0,2500,27,0.5,0.7,0.7,0.3,0.1,,Harrison Bryant
Tyler,Goodson,RB,Q,18,2026-01-04,Sat-Sun,IND,HOU,10.5,39.5,14.5,4500,10,0.9,0.9,0.8,0.3,0.06,,Tyler Goodson
