PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,PASS ATT,RUSH ATT,TARGETS,TOUCHES,TOUCHES/$
Evan Deckers,TE,TB,KC,343,45.50,8.50,18.50,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Feleipe Franks,TE,CAR,NO,287,43.50,7.50,18.00,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Carson Wentz,QB,KC,TB,-448,45.50,-8.50,27.00,4700,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Jake Browning,QB,CIN,LV,-351,46.50,-7.50,27.00,4900,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Ian Wheeler,RB,CHI,ARI,100,44.50,1.00,21.75,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Brevyn Spann-Ford,TE,DAL,ATL,121,52.00,2.50,24.75,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Michael Penix,QB,ATL,DAL,-145,52.00,-2.50,27.25,5400,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Jase McClellan,RB,ATL,DAL,-145,52.00,-2.50,27.25,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Parker Hesse,TE,DET,GB,-175,48.00,-3.50,25.75,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Chris Manhertz,TE,NYG,WAS,156,44.00,3.50,20.25,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Jermaine Jackson,WR,NO,CAR,-368,43.50,-7.50,25.50,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Malik Taylor,WR,NYJ,HOU,-125,42.00,-1.50,21.75,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Chris Collier,RB,BAL,DEN,-451,45.50,-9.00,27.25,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Ross Dwelley,TE,ATL,DAL,-145,52.00,-2.50,27.25,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
AJ Dillon,RB,GB,DET,144,48.00,3.50,22.25,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Tyrod Taylor,QB,NYJ,HOU,-125,42.00,-1.50,21.75,5200,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Steven Sims,WR,HOU,NYJ,105,42.00,1.50,20.25,3000,0.00,0.0,0.0,0.0,0.2,0.2,0.1
Kameron Johnson,WR,TB,KC,343,45.50,8.50,18.50,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Mason Rudolph,QB,TEN,NE,-179,38.00,-3.50,20.75,4600,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Colson Yankoff,TE,WAS,NYG,-189,44.00,-3.50,23.75,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Williams,WR,DET,GB,-175,48.00,-3.50,25.75,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Firkser,TE,NYJ,HOU,-125,42.00,-1.50,21.75,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
KhaDarel Hodge,WR,ATL,DAL,-145,52.00,-2.50,27.25,3000,0.00,0.0,0.0,0.0,1.0,1.0,0.3
Deonte Harty,WR,BAL,DEN,-451,45.50,-9.00,27.25,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Travis,QB,NYJ,HOU,-125,42.00,-1.50,21.75,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
MarShawn Lloyd,RB,GB,DET,144,48.00,3.50,22.25,4800,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Braxton Berrios,WR,MIA,BUF,221,49.50,6.00,21.75,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Jaaron Hayek,WR,KC,TB,-448,45.50,-8.50,27.00,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Cody Schrader,RB,LAR,SEA,-123,48.50,-1.50,25.00,4000,0.17,0.0,0.0,0.1,0.1,0.2,0.1
Josh Reynolds,WR,DEN,BAL,350,45.50,9.00,18.25,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Albert Okwuegbunam,TE,PHI,JAX,-352,45.50,-7.50,26.50,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Deshaun Watson,QB,CLE,LAC,103,42.50,1.50,20.50,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Trayveon Williams,RB,CIN,LV,-351,46.50,-7.50,27.00,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Keilan Robinson,RB,JAX,PHI,277,45.50,7.50,19.00,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
J.J. Taylor,RB,HOU,NYJ,105,42.00,1.50,20.25,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Jacoby Brissett,QB,NE,TEN,147,38.00,3.50,17.25,5000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Case Keenum,QB,HOU,NYJ,105,42.00,1.50,20.25,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
David White,WR,JAX,PHI,277,45.50,7.50,19.00,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Tahj Washington,WR,MIA,BUF,221,49.50,6.00,21.75,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Spencer Rattler,QB,NO,CAR,-368,43.50,-7.50,25.50,5100,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Reggie Gilliam,RB,BUF,MIA,-275,49.50,-6.00,27.75,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Gunner Olszewski,WR,NYG,WAS,156,44.00,3.50,20.25,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
River Cracraft,WR,MIA,BUF,221,49.50,6.00,21.75,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Chase Edmonds,RB,TB,KC,343,45.50,8.50,18.50,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Stefon Diggs,WR,HOU,NYJ,105,42.00,1.50,20.25,7400,0.00,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Ham,RB,MIN,IND,-240,46.50,-5.50,26.00,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Josiah Deguara,TE,JAX,PHI,277,45.50,7.50,19.00,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
J.J. McCarthy,QB,MIN,IND,-240,46.50,-5.50,26.00,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Taylor Heinicke,QB,LAC,CLE,-124,42.50,-1.50,22.00,4300,0.00,0.0,0.0,0.0,0.0,0.0,0.0
